id,type,position,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
275c415e-a24b-4046-a4f2-574218cb5d3b,SELECT,0,Return reason,Důvod vrácení,Rückgabegrund,Αιτία επιστροφής,Return reason,Motivo de la devolución,Tagastuse põhjus,Motif de retour,Razlog za povrat,A visszaküldés oka,Return reason,Grąžinimo priežastis,Atgriešanas iemesls,Reden van retournering,Powód zwrotu,Motivul returului,Dôvod vrátenia,Razlog za vračilo,Důvod vrácení
45b36848-79cb-4a2b-8201-59dee71c7430,CHAR,1,Return reason details,Detaily důvodu vrácení,Details der Rückgabegründe,Λεπτομέρειες αιτίας επιστροφής,Return reason details,Detalles del motivo de la devolución,Tagastuspõhjuse üksikasjad,Détails du motif de retour,Detalji razloga za povrat,A visszaküldés okának részletei,Return reason details,Grąžinimo priežasties duomenys,Pieprasījuma iemesla informācija,Details van de reden van retournering,Szczegóły powodu zwrotu,Detalii despre motivul returului,Podrobnosti o dôvode vrátenia,Podrobnosti o razlogu vračila,Detaily důvodu vrácení
b07bf1ad-393a-490b-b9f3-bebabe53822c,CHAR,2,Claim reason,Popis závady,Beschreibung des Mangels,Αιτία αξίωσης,Claim reason,Motivo de la reclamación,Nõude põhjus,Raison de la réclamation,Razlog za reklamaciju,Probléma leírása,Claim reason,Paraiškos priežastis,Pieprasījuma iemesls,Reden voor aanvraag,Opis wady,Descrierea defecțiunii,Opis chyby,Razlog zahtevka,Popis závady
3226b830-5db3-4507-a79f-50d82baf05bb,CHAR,3,Claim solution,Navrhované řešení,Lösungsvorschläge,Λύση αξίωσης,Claim solution,Solución de la demanda,Nõude lahendus,Solution de la réclamation,Rješenje pritužbe,Jóváhagyott megoldás,Claim solution,Paraiškos sprendimas,Pieprasījuma risinājums,Claim oplossing,Proponowane rozwiązanie,Soluția propusă,Navrhované riešenie,Rešitev zahtevka,Navrhované řešení
a7561769-4be8-4267-bcb5-b20a5bc89a79,CHAR,4,Claim resolution,Vyjádření prodejce,Erklärung des Verkäufers,Επίλυση αξίωσης,Claim resolution,Resolución de reclamaciones,Nõude otsus,Résolution de la réclamation,Rješavanje pritužbe,Ügyfél javasolta megoldás,Claim resolution,Galutinis paraiškos rezultatas,Pieprasījuma atrsinājums,Claimoplossing,Rozpatrzenie reklamacji,Declarația vânzătorului,Vyjádrenie predajcu,Reševanje zahtevka,Vyjádření prodejce
62ab938f-a14e-4811-9c81-09f669acde7f,FILE,5,Product files,Přiložené soubory,Produktdateien,Αρχεία προϊόντος,Product files,Product files,Product files,Fichiers produits,Product files,Termék fájl,Product files,Product files,Product files,Product files,Pliki produktu,Fișiere produs,Priložené súbory,Datoteke o izdelku,Přiložené soubory
d927c00f-e847-4fc9-974d-4d039d89691b,SELECT,6,,Jak si přejete reklamaci vyřešit?,,,,,,,,Hogyan szeretné megoldani a reklamációt?,,,,,,,Ako si prajete reklamáciu vyriešiť?,,Jak si přejete reklamaci vyřešit?
9bc6b7f6-b7ca-4bf0-8a38-cf9daec1eb47,SELECT,7,,Jak si přejete odstoupení od smlouvy vyřešit?,,,,,,,,Hogyan szeretné megoldani a szerződéstől való elállást?,,,,,,,Ako si prajete odstúpenie od zmluvy vyriešiť?,,Jak si přejete odstoupení od smlouvy vyřešit?
92876e1c-dba3-42cb-92e4-83f4942cbf67,CHAR,8,,Číslo účtu,,,,,,,,,,,,,,,,,Číslo účtu
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,SELECT,9,,Co je s výrobkem špatně?,,,,,,,,Mi a probléma a termékkel?,,,,,,,Čo je s výrobkom zle?,,Co je s výrobkem špatně?
70ac92f6-c96c-40d3-84a1-7ac6a5ba9b2e,CHAR,10,Причина за рекламация,Popis závady,Beschreibung des Mangels,Αιτία αξίωσης,Claim reason,Motivo de la reclamación,Nõude põhjus,Raison de la réclamation,Razlog za reklamaciju,Probléma leírása,Claim reason,Paraiškos priežastis,Pieprasījuma iemesls,Reden voor aanvraag,Opis wady,Descrierea defecțiunii,Dôvod reklamácie,Razlog zahtevka,Popis závady
dbf17fff-d7a3-49cc-8933-70fe79ecfd89,CHAR,11,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution,Proposed solution
20fa95eb-2793-43e3-806f-b58278f03416,LINK,12,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket,Source ticket
fd4a74e2-0e1f-4566-b2d2-26686f1fdc13,LINK,13,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint
